model,Cell Line Name,"ERASTIN (BRD:BRD-A25004090-001-08-4) log2 fold change PRISM Repurposing Public 24Q2"
ACH-000534,WSUDLCL2,NA
ACH-000535,BXPC3,0.466306016205
ACH-000537,SNU761,-1.3973021713
ACH-000541,KMS34,NA
ACH-000542,HEYA8,-1.50376859857
ACH-000543,SNU489,-0.170256816882
ACH-000544,OE21,0.527604269394
ACH-000545,VMCUB1,0.402180503685
ACH-000547,HT1197,-1.39050115079
ACH-000548,BHY,0.326245089656
ACH-000549,SNU1076,0.616932106905
ACH-000550,IGR39,NA
ACH-000551,K562,NA
ACH-000552,HT29,0.794782673946
ACH-000553,SQ1,-2.43883087569
ACH-000555,A498,-0.0270993697829
ACH-000558,A172,1.06764621199
ACH-000560,ECC10,NA
ACH-000561,TDOTT,0.307711153132
ACH-000562,HCC78,-3.63573612254
ACH-000563,EBC1,0.771785354408
ACH-000564,KHM1B,NA
ACH-000565,RCM1,0.240386048632
ACH-000566,SW1710,-0.439270493602
ACH-000569,ISTMES1,0.220175855884
ACH-000570,YKG1,0.447598823185
ACH-000571,T98G,-0.028019416102
ACH-000572,G361,0.504040228725
ACH-000573,MDAMB436,0.68186962786
ACH-000576,KMS27,NA
ACH-000579,UACC257,0.806473651396
ACH-000580,C32,0.716807518238
ACH-000582,COLO741,0.497676094147
ACH-000583,MC116,NA
ACH-000586,NCIH1876,NA
ACH-000587,NCIH1975,0.0452115647431
ACH-000589,NCIH1437,0.316405734077
ACH-000590,NCIH2073,0.206161497489
ACH-000592,TM31,-1.48764345191
ACH-000593,BC3C,1.37488388917
ACH-000595,LN229,0.560896900884
ACH-000597,TTC709,0.59597345956
ACH-000598,KMS21BM,NA
ACH-000599,PATU8902,0.298520796399
ACH-000601,MIAPACA2,-0.683026972518
ACH-000603,BEN,-0.0907887977852
ACH-000604,KYO1,NA
ACH-000605,TE6,0.686385158322
ACH-000607,KYM1,NA
ACH-000608,COV644,0.394310562188
ACH-000609,SF126,-2.0809213572
ACH-000613,HOS,0.614415048182
ACH-000614,RVH421,0.0901714685816
ACH-000615,SKMEL28,NA
ACH-000616,HS746T,-2.77482005123
ACH-000617,OVCAR4,-0.989094868053
ACH-000618,SNU1041,0.966451968816
ACH-000619,PECAPJ15,0.376325024191
ACH-000620,JHH1,0.106203098407
ACH-000622,KNS42,0.581092364938
ACH-000623,SNU201,-0.0935703658395
ACH-000624,HCC1806,1.38088495525
ACH-000625,HEP3B217,1.10328850002
ACH-000626,U266B1,NA
ACH-000627,LCLC103H,-2.48277919673
ACH-000628,NCIH596,1.21963182884
ACH-000630,YD8,0.339890010364
ACH-000631,KS1,0.748503073346
ACH-000632,HS944T,0.171424664016
ACH-000635,SNU119,NA
ACH-000636,RPMI8402,NA
ACH-000637,KYSE520,0.281356136634
ACH-000638,NCIH441,-0.353104055055
ACH-000639,NCIH211,NA
ACH-000643,HDQP1,0.332863671915
ACH-000644,COLO829,0.868879739782
ACH-000645,JL1,-0.536697353167
ACH-000647,TE1,0.508831922516
ACH-000648,NCIH28,-0.486817135472
ACH-000649,786O,-2.79943731664
ACH-000650,IGR37,0.202168405915
ACH-000651,SW620,0.232016879986
ACH-000652,SUIT2,-0.0490064282529
ACH-000653,JJN3,NA
ACH-000656,SUDHL8,NA
ACH-000657,A2780,0.178848937878
ACH-000658,KMS18,NA
ACH-000659,SCLC21H,NA
ACH-000661,WM1799,0.72535388028
ACH-000662,CORL23,-0.00784042095724
ACH-000663,OVTOKO,-0.0861874215249
ACH-000664,SUDHL1,NA
ACH-000665,SKMES1,0.33133641102
ACH-000666,NCIH1355,1.05224657274
ACH-000667,HCC44,0.401931473637
ACH-000669,SW900,-0.556710054607
ACH-000670,SBC5,-0.045919210057
ACH-000671,HUH6,-1.08751930922
ACH-000672,IALM,-0.850113051949
ACH-000674,NUGC4,NA
ACH-000676,LN464,NA
ACH-000677,SW1573,0.799736509734
ACH-000678,MKN7,-0.0476575040897
ACH-000679,OE19,0.466331312339
ACH-000680,SW948,1.49837262
ACH-000681,A549,1.13040748642
ACH-000682,SNU1066,1.42785779053
ACH-000684,KMRC1,-2.05623034909
ACH-000685,L33,0.592105231794
ACH-000686,SNU878,0.476778621258
ACH-000687,CI1,NA
ACH-000688,OV7,-1.43126445536
ACH-000692,SNU899,-0.00829614025044
ACH-000693,KYSE180,-0.0694514234108
ACH-000694,TE9,1.10883889979
ACH-000696,OVCAR8,0.593059434031
ACH-000697,A3KAW,NA
ACH-000698,DMS53,-0.515839297345
ACH-000699,HCC1395,-0.00698924586533
ACH-000701,RMUGS,0.170506777905
ACH-000703,DMS79,NA
ACH-000704,OAW42,0.993441931214
ACH-000706,EKVX,-0.243615145204
ACH-000711,JIMT1,0.55299910772
ACH-000713,CAOV3,1.52719600761
ACH-000714,KMS11,NA
ACH-000715,SNU1214,0.839592734419
ACH-000716,TT2609C02,0.123361548312
ACH-000717,COLO680N,0.330701241266
ACH-000719,RMGI,-0.956872628586
ACH-000720,TCCSUP,2.30440523497
ACH-000721,HMC18,-0.486894140717
ACH-000723,YD10B,0.932275868203
ACH-000724,HT1376,1.15943136218
ACH-000726,TE14,0.42969796707
ACH-000728,KASUMI2,NA
ACH-000730,SKMEL5,0.190645262472
ACH-000732,PECAPJ41CLONED2,0.145478206288
ACH-000733,NCIH1838,0.256863909232
ACH-000734,JHH5,1.04150092863
ACH-000735,PECAPJ49,0.801239155697
ACH-000736,SNU601,-0.851991801627
ACH-000738,GB1,-1.97287462453
ACH-000739,HEPG2,0.883904608837
ACH-000740,A253,0.0944767764218
ACH-000741,UBLC1,0.620812876055
ACH-000744,NCIH1623,0.874294373584
ACH-000746,GSS,NA
ACH-000747,NCIH1703,-1.94266208193
ACH-000748,SJSA1,0.286224356403
ACH-000749,DMS273,-0.787761716953
ACH-000750,LOXIMVI,-2.85893885604
ACH-000751,OCIM1,NA
ACH-000752,NCIH196,NA
ACH-000753,JMSU1,1.09379514235
ACH-000756,GI1,-2.35692586379
ACH-000757,A427,NA
ACH-000758,MKN74,0.111769801427
ACH-000759,MDAMB175VII,1.24448756849
ACH-000760,LNZ308,NA
ACH-000762,YD38,0.458813492305
ACH-000763,MM1S,NA
ACH-000764,SH10TC,-2.25685302512
ACH-000765,WM983B,0.408699708878
ACH-000766,NCIH1648,-0.129337010563
ACH-000768,MDAMB231,-0.241347933496
ACH-000769,LK2,0.761433954252
ACH-000771,BICR56,0.74818203487
ACH-000774,RERFLCAD2,0.679637451445
ACH-000775,NCIH727,0.797190975516
ACH-000776,ONS76,-0.462561369037
ACH-000777,KYSE30,-2.64323008773
ACH-000778,HSC3,0.294874134505
ACH-000780,NCIH1105,NA
ACH-000781,NCIH2023,1.82392752128
ACH-000782,SEM,NA
ACH-000783,CAMA1,0.406285678284
ACH-000784,KYSE70,1.15317781641
ACH-000785,NCIH2126,0.810361244658
ACH-000787,LXF289,1.44450555973
ACH-000788,A2058,0.0258540847904
ACH-000790,SHP77,NA
ACH-000791,RERFLCAD1,0.492709759764
ACH-000792,BFTC909,0.348448550229
ACH-000793,KATOIII,NA
ACH-000794,BICR22,0.0397818949299
ACH-000795,MOLT13,NA
ACH-000796,MCAS,-1.1319096406
ACH-000800,NCIH446,0.215992874036
ACH-000802,BFTC905,0.241156558021
ACH-000803,COLO668,-0.0972244453895
ACH-000804,NB1,-0.80420751787
ACH-000805,COLO679,-0.779079609279
ACH-000808,HUH28,0.519194436742
ACH-000809,KYSE410,-0.925956603803
ACH-000810,SKMEL30,0.515050657966
ACH-000811,SKOV3,-0.0341613307443
ACH-000812,COLO783,0.630991232189
ACH-000813,T3M10,0.21952848309
ACH-000814,HS939T,0.18077737393
ACH-000815,KMH2,NA
ACH-000816,NCIH524,NA
ACH-000819,LN18,-0.00142702179624
ACH-000822,SKMEL24,1.01643976614
ACH-000823,KYSE140,-0.124904723359
ACH-000824,KYSE510,0.581412865612
ACH-000826,CAL12T,1.01696704698
